,Filename,Questions,Interviewerin,Arzt
10,1_Wir können die Ausbreitung verlangsamen.pdf,"Guten Morgen, Herr Drosten, sind Sie überhaupt zum Schlafen gekommen? Wie verändern diese Fälle, die jetzt bekannt geworden sind, denn Ihre Einschätzung der Lage? Sie haben gesagt, Sie sind ein bisschen ratlos.Gibt es da auch ein Informationsproblem? Das war ja auch immer im Zusammenhang mit China thematisiert worden, dass es hieß, wir wissen gar nicht, ob wir alles wissen, was wir wissen müssten.Wie geht das eigentlich vor sich? Was gilt denn da eigentlich als Grunderkrankung? Auch das war die Frage eines Hörers.Wie sieht es mit Schwangeren aus? Wie können Sie denn jetzt in der Forschung diese Lücke schließen, die Sie vorhin angesprochen haben? Was kann die Forschung da tun? In Hamburg gibt es demnächst Schulferien, müssen sich die Menschen denn hier jetzt auf was Besonderes einstellen? Ist es sinnvoll, sich zu bevorraten? Ist es sinnvoll, dass hier Schulen und Kitas geschlossen werden? Wir haben einen Hörer, der hat geschrieben: Warum machen denn alle so ein Drama um Corona Š insbesondere wenn wir bedenken, dass es in diesem Jahr allein schon 130 Grippetote gegeben hat? Können Sie mit der aktuellen Brille für uns mal die Zahlen ins Verhältnis setzen?",KORINNA HENNIG,CHRISTIAN DROSTEN
11,20_Deutschland kann nur bedingt von anderen lernen.pdf,"Wie viel man kann man an diesen Zahlen und dieser Entwicklung jetzt schon ablesen? Dann gibt es ganz oft Fragen wie: Wie wird eigentlich der Rachenabstrich gemacht? Dann gibt es Ärzte, die sagen: Wäre es nicht sinnvoll, den jüngeren Kollegen gezielt und kontrolliert mit Coronaviren anzustecken, damit die Praxis, wenn der wieder gesund ist, die Arbeit aufrechterhalten kann? Können Sie sich vorstellen, dass vielleicht irgendein Krisenteam denen helfen kann, dass man mobile Labore schicken könnte? Wie ziehe ich die Schutzkleidung an und wieder aus und so weiter und so fort? Kann man sich so was vorstellen?Wenn wir noch mal auf die Datenlage in Deutschland gucken: Was wir im Moment haben, sind Modellrechnungen, an denen wir uns sozusagen entlang hangeln und gucken: Was könnte passieren? Als nächster Schritt, was müsste kommen? Müssten mehr wissenschaftliche Ergebnisse kommen? Müssen wir wirklich noch mehr anfangen, Daten zu sammeln? Oder was wäre unser nächster Schritt für Deutschland?Um dann noch genauere Zahlen hinzubekommen und vorbereitet zu sein?",ANJA MARTINI,CHRISTIAN DROSTEN
12,21_Antikörpertests kommen bald.pdf,"Und wir wollen uns heute gemeinsam mit ihm der Frage widmen: Was für Tests gibt es zum Nachweis einer Infektion Œ oder der Immunität? Wie funktionieren sie und was können sie leisten? Wie wichtig ist es, dass dieser Test richtig gemacht wird? Wie tief muss man da überhaupt in den Rachen rein?Das heißt, wenn der nicht durch die Nase, sondern im Rachen nicht richtig gut gemacht wird, kann er auch mal falsch negativ anzeigen, obwohl der Test selber sehr sensitiv ist, also sehr empfindlich?Bis es schmerzhaft wird, dann weiß man, dass es richtig war.Die Menschen in Deutschland machen, glaube ich, ganz unterschiedliche Erfahrungen in der Frage, wie Wenn wir aber die Maßnahmen begutachten: Sie hatten schon mal so gesagt, so um Ostern herum gucken wir mal, und dann müssen ja Politiker auch entscheiden, wird nachgesteuert? Sind Sie da auch an der Begutachtung beteiligt? Wie wichtig ist das denn, wie viel Antikörper jemand bildet? Wir wollen auch lernen.Also besonders effiziente Antikörper?Was bedeutet das dann tatsächlich für die Testung ? Könnte man also in der Zwischenphase sagen, wir versuchen, die validierten Tests denen erst einmal vorzubehalten, damit die Gesellschaft weiter funktioniert? Oder können sich auch freiwillige Helfer Œ wir haben Zuschriften von Hörern, die sagen, wenn ich denn jetzt immun bin, dann würde ich gerne helfen, irgendwo, wo Not am Mann ist Œ irgendwo testen lassen?",KORINNA HENNIG,CHRISTIAN DROSTEN
13,22_Noch kein Durchbruch bei Medikamenten.pdf,"Was sagen Sie? Kann es Länder geben, die da schon weiter sind?Dieser Antikörpertest, der ja eventuell dann für die breite Masse spannend wird, nämlich der Selbsttest, wie muss ich mir den technisch vorstellen? Ist das so ein bisschen so wie dieses Testkit für Diabetiker? Man macht sich einen Piks in den Finger und kann es dann auf ein Blatt Papier halten und erkennt, man hat Antikörper oder nicht? Ist dann mit einem PCR-Test das Virus wirklich noch richtig gut nachweisbar? Oder gibt es vielleicht schon Probleme? Und das Virus ist runter gewandert in die Lunge und nicht mehr gut testbar?Das sind weiße Flecken auf der Lunge? Was wissen Sie im Moment aktuell zu diesen Studien, wie die laufen?Anja Martini Wie funktioniert Remdesivir in diesem Virus? Was tut es da? Ist in der Zwischenzeit irgendwas da passiert? Und da am Ende das klinische Schicksal dieser Patienten analysiert, also wie ist es für die Patienten ausgegangen? Was gibt es da?",ANJA MARTINI,CHRISTIAN DROSTEN
14,23_Die Forschung braucht jetzt ein Netzwerk.pdf,Wie viel Verbesserung kann so ein Netzwerk bringen für die Forschung?,CORINNA HENNIG,CHRISTIAN DROSTEN
15,24_Wir müssen weiter geduldig sein.pdf,,ANJA MARTINI,CHRISTIAN DROSTEN
16,25_Persönliche Sicherheit durch Mobilfunk-Daten.pdf,"Also wie sehr haben die Menschen, die sich bei der chinesischen Besucherin angesteckt haben, wiederum andere angesteckt? Wie kann man sich eine solche Ansteckung praktisch vorstellen? Was ist da passiert? Das Stichwort Aerosol spielt da wahrscheinlich wieder eine Rolle.Also nicht durch den Stoff, sondern durch die Öffnungen, die an der Seite am Gesicht entstehen bei einer normalen Maske?Uns erreichen immer wieder auch Fragen zu dem grounterwegs in Europa? Zu gucken, gibt es genetische Voraussetzungen dafür, wie anfällig jemand für eine Infektion oder einen schweren Verlauf ist? Für wie erfolgversprechend halten Sie so was? Konzentriert sich darauf auch ein bisschen Forschung?Synthetisch hergestellte Antikörper?Was den Krankheitsverlauf angeht, kann man von der Ineinem Haushalt lebe zum Beispiel mit mehreren Leuten und kriege fast nie was, und der andere kriegt ständig was?",KORINNA HENNIG,CHRISTIAN DROSTEN
17,26_Genbasierte Impfstoffe haben Potential.pdf,"Herr Drosten, wie ist das bei Ihnen im Institut eigentlich Œ wenn jemand systemrelevant ist, dann ja auch Sie alle in der Forschung: Testen Sie sich engmaschig? Wir haben gestern schon von Ihnen gehört, dass Sie negativ getestet sind auf das Coronavirus.Und der Test war negativ in beiden Fällen?Also Trägerstoffe.Ist das das Prinzip, das wir von der Masernimpfung kennen? Also hier dann: abgeschwächte andere Viren sind der Träger und werden gentechnisch verkleidet, sodass man das Protein austauscht, ein Bauteil austauscht?Wenn Sie sagen, diese Abkürzung ist bereits eingepreist, gibt es noch andere Möglichkeiten? Ist das relevant für die Impfstoffforschung, welche Art der Immunantwort man da erzeugt? Welche Rolle spielt das in diesem Fall? Wie schnell kann so was gehen? Und wie gut kann es sein?Also mit abgeschwächten Viren, bei denen die krankmachenden Eigenschaften verringert wurden?Was heißt das? Die haben einen Rezeptor Ist denn eine dieser beiden Linien aus Ihrer Sicht, soweit Sie das beurteilen können, die vielversprechendere, gerade was solche Unwägbarkeiten angeht? Wie gut bewerten Sie aus Ihrer Sicht die Zusammenarbeit zwischen ganz verschiedenen Instituten, die forschen? Kocht da jeder sein eigenes Süppchen? Das ist ja auch nicht nur eine nationale Frage.Wenn wir von diesen biotechnologischen Varianten, biotechnologisch hergestelltes Protein, gesprochen haben: Ist das schon einberechnet in die Frist von zwölf bis 18 Monaten, bis man überhaupt so weit ist? Oder lässt sich genau durch diesen Prozess noch Zeit gewinnen?",KORINNA HENNIG,CHRISTIAN DROSTEN
18,27_Handy-Apps können eine Perspektive bieten.pdf,"Aber ganz viele Menschen fragen sich auch immer wieder: Können wir noch mehr tun? Können wir zum Beispiel irgendwas für unser Immunsystem tun und das aufbauen? Vielleicht mit Vitamin C, Vitamin D. Haben Sie eine Idee? Geht so was?",ANJA MARTINI,CHRISTIAN DROSTEN
19,28_Auch die Atemluft spielt eine Rolle.pdf,"Das ist doch erst mal Anlass für Optimismus oder nicht? Schnupfenviren? Ich würde zum Ende dieser Folge gerne noch einmal auf Symptomatik gucken, weil es da interessante Erkenntnisse zu dem Komplex gibt: Was macht eigentlich eine mögliche Erkrankung oder auch nur eine Infektion mit dem Virus mit dem Geschmacks- und Geruchssinn? Als Folge einer Infektion mit dem Coronavirus, kann man das daraus vorsichtig schließen?Sie sind aber nicht getestet worden auf das Coronavirus?Korinna Hennig Das bedeutet für uns, wenn wir versuchen, den Gedanken weiterzudenken, kann das aus Verbrauchersicht, weil ja nicht ganz systematisch alle durchgetestet werden bei den kleinsten Symptomen, auch ein Symptom sein, an dem ich vielleicht festmachen kann, ich bleibe lieber verschärft zu Hause?",KORINNA HENNIG,CHRISTIAN DROSTEN
20,29_Tests müssen gezielter eingesetzt werden.pdf,,KORINNA HENNIG,CHRISTIAN DROSTEN
21,2_Panik ist unangebracht.pdf,"Richtig?Korinna Hennig Ist das denn überhaupt noch möglich, solche Infektionsketten nachzuvollziehen, wenn wir doch jetzt verschiedene Infektionen haben Š örtlich unabhängig? Korinna Hennig Wie kann man das eigentlich feststellen? Wie funktionieren solche Tests Š wie schnell sind sie, wie sicher Š, und warum werden die nicht flächendeckend eingesetzt? Und warum wird das nicht flächendeckend eingesetzt? Wie verbreitet sich dieses Virus? Kann es auf Oberflächen überleben? Wenn ja, wie lange? Korinna Hennig Und was die Kontaktübertragung angeht? Korinna Hennig Aber das Virus kann auf Oberflächen eine Weile überleben? Ich habe heute früh jemanden gesehen auf einem Fahrrad, der ganz alleine vor sich hin fuhr, eine Atemschutzmaske hatte und da so rein und raus atmete, was ist dazu zu sagen? Die Wissenschaft spricht von der Attack Rate Š also wie viele andere steckt ein Infizierter durchschnittlich an Š und wie schnell? Korinna Hennig Das heißt, kann man da trotzdem Zahlen nennen, wie die Attack Rate bei Grippe jetzt zum Beispiel wäre? Wie ist es bei Ihnen persönlich?",KORINNA HENNIG,CHRISTIAN DROSTEN
22,30_Forscher hoffen auf Datenspenden.pdf,"Was sehen Sie da? Dazu kommt die Schwierigkeit, dass man feststellen muss, wann ist denn ein Kontakt als Kontakt zu werten? Es ist auf jeden Fall ein Weg, den man beschreiten kann, um das, wie Christian Drosten sagte, zu beschleunigen, also die Rekonstruktion solcher Kontakte zu beschleunigen.Wenn Sie sagen, solche Dinge sind in Vorbereitung: Haben Sie für uns einen Zeithorizont? Erhöht sich denn ein Ruhepuls auch schon, wenn ich nur ganz, ganz leichte Symptome entwickle? Oder geht das immer nur in Zusammenhang mit Fieber?Herr Brockmann, was genau muss denn so ein Fitnessarmband können? Da gibt es ja ganz verschiedene Anbieter, die Sie in dieser DatenspendeApp auch zusammengeführt haben, in dieser CoronaDatenspendeApp, kann das auch ein ganz einfaches billiges sein?Gibt es Grenzen dieses Systems des Ruhepuls- und TemperaturerhöhungsMessens? Herr Drosten, wenn wir aber jetzt davon ausgehen, dass wir hier möglicherweise von extrem gesundheitsbewussten sportlichen Menschen sprechen, die solche Fitness-Tracker benutzen, sind diese Daten dann aus Virologensicht überhaupt aussagekräftig? Das heißt: Alles, was an Geld ausgegeben wird, bleibt im öffentlichen Bereich, also Rechner, die gekauft werden müssen, Leute, die an dieser Sache.ANDERE DATENSPENDE-PROJEKTE  SIND DENKBARUm abschließend noch einmal den Blick zu weiten und sich wieder auf den größeren Zusammenhang zu konzentrieren: Wenn Sie jetzt am Anfang der Entwicklung stehen Œ was ist denn, wenn ich auch gerne eine Datenspende für die Forschung machen möchte und benutze aber solche Fitness-Tracker nicht? Und möchte das auch nicht? Das heißt, nach meiner Auffassung, das kommt auch aus den Mobilitätsanalysen heraus, sind nationale Grenzen eigentlich willkürliche Linien auf der Karte für das Virus.Die wir auch langfristig gar nicht mehr in Betracht ziehen müssen?",KORINNA HENNIG,CHRISTIAN DROSTEN
23,31_Eine Wiederinfektion bleibt unwahrscheinlich.pdf,"Da geht es zum Beispiel um die Frage: Kann das Virus reaktiviert werden? Welche Fragen sind denn da tatsächlich offengeblieben? Die IgG-Antikörper Œ beides also Immunglobuline Œ sind aber die, die für den Nachweis der Immunität wichtiger sind, richtig? Aber bei den anderen Coronaviren ist es so? Ist es denkbar, dass das Virus reaktiviert wird? Da ging es hauptsächlich um Patienten, die keine Symptome mehr hatten, oder überhaupt nur schwache Symptomatik hatten.Abschließend möchte ich trotzdem noch einmal ganz große Frage für uns alle und für Patienten ja immer die ist: Wie lange bin ich ansteckend? Wie lange sollte ich mich komplett aus allem raushalten? Und gibt es auch falsch positive und negative Tests? Hat denn die Frage, losgelöst von dieser Reaktivierungsthematik, ob ich Wasser, grundsätzlich mit der Viruskonzentration im Rachenabstrich zu tun? Also wenn ich zum Beispiel negativ getestet werde und zwei Tage später positiv? Wie verändert sich die Bildung? Was für Folgen könnte ein Grundeinkommen für alle haben, zum Beispiel? Die aktuelle Folge dreht sich um Mobilität: Sind wir auch langfristig weniger unterwegs?",KORINNA HENNIG,CHRISTIAN DROSTEN
24,32_Jetzt mit Hochdruck Forschungsfragen klären.pdf,"Worüber wir aber noch nicht so viel gesprochen haben, wenn man jetzt selbstgenähte Masken zum Beispiel hat oder selbst gebastelte, wie geht man denn damit um? Haben wir da irgendetwas übersehen, was wir aus anderen Ländern vielleicht hätten lernen können? Oder ist das genau das Ausstattungsproblem, das immer wieder zutage tritt?Sie hatten angesprochen, die Virussequenzen zu untersuchen, um zu gucken, welches Virus oder welche Variante ist das denn dann da genau? Geben die Kapazitäten so was her? Ist das nicht eine berechtigte Anmerkung? Gibt es denn mittlerweile schon vorläufige Berechnungen, was die Übersterblichkeit durch das Coronavirus angeht, so wie man es bei pandemischen Grippewellen macht? Also zu berechnen, wie sich die Zahl von Sterbefällen erhöht gegenüber normalen Zeiten zu dieser Jahreszeit? Wie ist das in Ihrem Umfeld, in Ihrer Familie? Das ist ein bisschen paradox, aber das müssen wir vermutlich aushalten und geduldig sein.Also ein Hoffnungsschimmer, dass man wenig weiß und dass man erst langsam mehr weiß, muss nichts Schlechtes heißen, sondern kann auch Gutes heißen und deckt sich vielleicht auch ein bisschen mit der Beobachtung in manchen Haushalten, dass da sich bei einer fünfköpfigen Familie nur zwei oder drei infizieren, da könnte sozusagen die Forschung noch weitere Erkenntnisse bringen?",KORINNA HENNIG,CHRISTIAN DROSTEN
25,33_Herdenimmunität noch lange nicht in Sicht.pdf,"Wie gut ist Ihr Kontakt zum Beispiel auch in Länder wie Schweden? Da fragen unsere Hörerinnen und Hörer immer wieder, was ist da los? Ich würde gerne einmal auf das Stichwort Infizierte, die keine oder kaum bemerkGegenstand von Studien, um nachzugucken, was für Hinweise haben wir darauf, wie groß die Zahl dieser Menschen tatsächlich ist? Bringen Sie uns bitte auf den Stand!Am Imperial College.Kann das sogar auch ein bisschen aussagekräftiger sein, weil man auf das Virus direkt getestet hat und eben nicht auf Antikörper, wie es in Gangelt zum Beispiel gemacht wurde, weil die Studie dort einfach später war? Also wie weit sind wir da eigentlich? Haben wir neue Hinweise? Also die Frage: Wie sehr sind Kinder eigentlich betroffen von Infektionen, von Erkrankungen? Wie sehr können sie Überträger sein? Deswegen auch in der Öffentlichkeit: Im —New England Journalﬁ erschienen.Das heißt, möglicherweise ist die Frage, die offen ist und die uns Hoffnung machen könnte, auch eine, die negativ beantwortet werden muss? Zum Beispiel: Was macht die Corona-Krise mit unserer Gesellschaft langfristig? Nützt sie dem Klimaschutz? Werden wir alle besser darin, Fake-News zu erkennen?",KORINNA HENNIG,CHRISTIAN DROSTEN
26,34_Verspielen wir unseren Vorsprung_.pdf,"Also die Frage: Wie ansteckend ist ein Erkrankter für wie lange? Untersucht die Forschung solche Fälle schon systematisch? Haben Sie da Einblick? Wann machen endlich die Kitas wieder auf? Kann man da schon ablesen, dass die Letalität sozusagen ein bisschen in die unteren Altersgruppen runterrutscht, wenn es dramatische Verläufe gibt?Wenn wir jetzt den Blick nach vorn richten, genau vor dem Hintergrund, den wir gerade besprochen haben und uns fragen: Wie geht es weiter? Ein großes Thema für alle bei der Frage —Wie geht es weiter?ﬁ ist natürlich auch die Frage: Was passiert, Das klingt bedrohlich.Was heißt schlechter in dem Fall?",KORINNA HENNIG,CHRISTIAN DROSTEN
27,35_Vielversprechende Impfstudie aus China.pdf,"Warum gibt es so viele milde Verläufe? Und warum stecken sich manche Menschen trotz engem Kontakt mit Infizierten offenbar nicht an? Was haben Sie herausgefunden? Was deutet sich an?Das heißt, eine Erklärung könnte das sein, was unter dem Stichwort Hintergrundimmunität läuft? Kann ich dann davon ausgehen, wenn sich so ein Ansatz tatsächlich bestätigt, die kriegt es nicht mehr? Sie bleiben dabei, wenn auch in verändertem Rhythmus?",KORINNA HENNIG,CHRISTIAN DROSTEN
28,36_Die Rolle von Kindern ist nicht geklärt.pdf,"Wissen wir irgendetwas mehr, was die Rolle der Kinder bei Infektionen und bei Übertragungen angeht Œ etwas, das  darauf hindeuten könnte, dass wir die Kitas bald wieder öffnen sollten?Also Maßnahmen.Als Überträger?Die, die viel unterwegs sind.Kann sich so eine Einschätzung aber verändern, wenn jetzt zum Beispiel, wie gerade geschehen, schrittweise für einige Klassen die Schulen wieder aufmachen? Weil es dann einfach viel mehr Kontakte gibt?Da gab es die Anfangsvermutung, weil man das von anderen Infektionen kennt, dass Kinder immer besonders viel Virus im Hals haben.Welche Rolle spielt das Alter der Kinder? Stichwort draußen, wenn Sie jetzt Ihre Lebensauffassung und die VirologenAuffassung zusammenbringen: Welche Rolle kann es denn spielen, Vieles nach draußen zu verlagern? Klasse Atemschutzmasken tragen können? Ist das ein Risikofaktor, der zu groß ist? Wovon gehen Sie nach derzeitiger Forschungslager aus? Erwirbt man eine Immunität gegen das Virus nach überstandener Infektion? Ist man ein bisschen immun oder nur vorübergehend?Aber vielleicht ein bisschen noch? Um welches Stadium der Infektion oder Krankheit würde es denn dann gehen? Was treibt Sie an, trotzdem weiterzumachen?",KORINNA HENNIG,CHRISTIAN DROSTEN
